"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=overview&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:57:38 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"Campbell Industrial Park",56329,"HI","Electric Utility","GT","OBL","Other Waste Biomass"
"Cargill B6 Biofactory",57343,"ID","IPP CHP","IC","OBG","Other Waste Biomass"
"Cargill Dry Creek Biofactory",57344,"ID","Industrial CHP","IC","OBG","Other Waste Biomass"
"Cargill Kettle Butte Biofactory",57345,"ID","IPP CHP","IC","OBG","Other Waste Biomass"
"Central District Wastewater Treat Plant",54623,"FL","Commercial CHP","IC","OBG","Other Waste Biomass"
"Central Valley Ag Power",58978,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"City of Hayward WWTP",58525,"CA","IPP CHP","IC, PV","OBG, SUN","Multiple"
"City of Tulare Water Facility",59395,"CA","Commercial CHP","FC, IC, PV","OBG, SUN","Multiple"
"Clean Fuel Dane Community Digester",59559,"WI","IPP CHP","IC","OBG","Other Waste Biomass"
"Clearwater Paper APP CB",50638,"AR","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Clearwater Paper IPP Lewiston",50637,"ID","Industrial CHP","ST","BLQ, NG","Multiple"
"Clewiston Sugar House",50482,"FL","Industrial CHP","ST","AB","Other Waste Biomass"
"Co-Gen II LLC",50993,"OR","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Co-Gen LLC",50921,"OR","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Collins Pine Project",10661,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Collinwood BioEnergy Facility",58439,"OH","Industrial Non-CHP","IC","OBG","Other Waste Biomass"
"Columbia Flooring Melbourne",56182,"AR","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Columbus MS",50184,"MS","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Consumer Products (Camas) LLC",57759,"WA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Cosmo Specialty Fibers Plant",50185,"WA","Industrial CHP","ST","WDL","Wood/Wood Waste Biomass"
"Covanta Delano Energy",10840,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Covanta Mendota",10837,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Covington Facility",50900,"VA","Industrial CHP","ST","BIT, BLQ, WDS","Multiple"
"Cox Waste to Energy",54850,"KY","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Craven County Wood Energy LP",10525,"NC","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"DC Water CHP",59012,"DC","IPP CHP","GT","OBG","Other Waste Biomass"
"DG Whitefield LLC",10839,"NH","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Dairyland WTE Plant",59810,"WI","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Darrington",57969,"WA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Davenport Water Pollution Control Plant",55035,"IA","Commercial CHP","IC","OBG","Other Waste Biomass"
"DeRidder Mill",10488,"LA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Deer Island Treatment Plant",10823,"MA","Commercial CHP","GT, HY, PV, ST, WT","DFO, OBG, SUN, WAT, WND","Multiple"
"Des Moines Wastewater Reclamation Fac",50932,"IA","Commercial CHP","IC","OBG","Other Waste Biomass"
"Desert View Power",10300,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Dillard Complex",50396,"OR","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Dinuba Energy",60100,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Domtar - Woodland Mill",10613,"ME","Industrial CHP","HY, ST","BLQ, WAT","Multiple"
"Domtar Kingsport Mill",10252,"TN","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Domtar Paper Co LLC Plymouth NC",50189,"NC","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Dorchester Biomass",58707,"SC","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Double A Digester",57425,"ID","IPP CHP","IC","OBG","Other Waste Biomass"
"Durham AWTF",60263,"OR","Commercial CHP","IC","OBG","Other Waste Biomass"
"Eagle Valley Clean Energy LLC Biomass",58574,"CO","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"East Millinocket Mill",55830,"ME","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Eastern Correctional Institute",10693,"MD","Commercial CHP","IC, ST","DFO, WDS","Multiple"
"El Nido Facility",56707,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Encina Water Pollution Control",10026,"CA","Commercial Non-CHP","IC","OBG","Other Waste Biomass"
"Enderlin",54908,"ND","Industrial CHP","ST","AB","Other Waste Biomass"
"Enterprise Sugar Factory",51008,"LA","Industrial CHP","ST","AB","Other Waste Biomass"
"Escanaba Mill",10208,"MI","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Evergreen BioPower LLC",56781,"OR","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Evergreen Community Power",58023,"PA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Expera Specialty Solutions - Mosinee Mill",50614,"WI","Industrial CHP","HY, ST","BLQ, WAT","Multiple"
"FCPC Renewable Generation",59931,"WI","IPP CHP","IC","OBG","Other Waste Biomass"
"Fairhaven Power",10052,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Fernandina Beach Mill",10202,"FL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Fernandina Plant",10562,"FL","Industrial CHP","ST","OBS, WDS","Multiple"
"Finch Paper",10511,"NY","Industrial CHP","ST","WDL","Wood/Wood Waste Biomass"
"Flambeau River Papers",50620,"WI","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Flint River Operations",50465,"GA","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Florence Mill",50806,"SC","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Florida Power Development",10333,"FL","IPP Non-CHP","ST","OBS","Other Waste Biomass"
"Fourche Creek Wastewater",10050,"AR","Commercial CHP","IC","OBG","Other Waste Biomass"
"Fremont Community Digester, LLC",59785,"MI","IPP CHP","IC","OBG","Other Waste Biomass"
"French Island",4005,"WI","Electric Utility","GT, ST","DFO, WDS","Multiple"
"GL Dairy Biogas",58219,"WI","IPP Non-CHP","IC","OBG","Other Waste Biomass"
